zone_rank,cluster_id,accident_count,avg_severity,max_severity,center_lat,center_lng,lat_min,lat_max,lng_min,lng_max
1,0,45770,2.168,4,30.29261709031672,-97.73345522173805,30.151243,30.42301,-97.829397,-97.656501
2,11,1929,2.01,4,30.44691825422576,-97.78237091282367,30.4238,30.47625,-97.807678,-97.750031
3,54,1658,2.011,4,30.23611493758674,-97.68775257082581,30.21676,30.260588,-97.699749,-97.671181
4,5,1122,1.998,3,30.30705255723775,-97.73959220067098,30.296597,30.32369000000001,-97.748917,-97.723671
5,60,1012,2.007,4,30.327900310913098,-97.7253310837557,30.312382,30.34008,-97.736636,-97.715279
6,49,807,2.005,4,30.38740802160288,-97.64884589429158,30.383375,30.392548,-97.652521,-97.643972
7,70,789,2.014,4,30.23460568718385,-97.82435056087864,30.229424,30.239307,-97.848076,-97.805199
8,44,762,2.157,4,30.42345565664956,-97.67177710836177,30.416048,30.431638,-97.684038,-97.660464
9,8,738,2.016,4,30.234726113445927,-97.8655870605065,30.232063,30.240715,-97.880867,-97.850218
10,33,710,2.001,4,30.21834322019984,-97.83396496254086,30.208529,30.232097999999997,-97.846413,-97.826477
11,96,685,2.236,3,30.439564547599836,-97.6712845516979,30.433238,30.452065,-97.677328,-97.666766
12,78,635,2.011,4,30.16288480728403,-97.68873637988571,30.150858000000003,30.17152,-97.695638,-97.669075
13,80,621,2.0,4,30.28613049061641,-97.66991923172749,30.278044,30.294033,-97.688262,-97.65979
14,127,532,2.0,3,30.21073749775983,-97.71487549843881,30.203478000000004,30.216114,-97.725502,-97.707939
15,16,531,2.429,4,30.14066366205581,-97.79653749939594,30.131327,30.149824,-97.802498,-97.792191
16,34,531,2.002,4,30.28746297088293,-97.70606204266231,30.281099,30.301212,-97.715448,-97.700371
17,28,511,1.988,3,30.271902220299097,-97.69665847206024,30.264009,30.281399,-97.702797,-97.687691
18,53,479,2.008,4,30.248643893248342,-97.80584582663454,30.238216,30.260891,-97.814369,-97.798998
19,146,461,1.989,3,30.34883456735864,-97.67705114322466,30.341255,30.35453,-97.681535,-97.672952
20,21,415,1.995,3,30.44025340204737,-97.69368393754152,30.4342,30.443716,-97.701561,-97.682533
21,9,414,1.998,4,30.40484972569917,-97.85348502461396,30.395452,30.413379,-97.86351,-97.8491
22,221,385,2.008,3,30.295760272543333,-97.82974381022215,30.290489,30.302998,-97.839958,-97.82299
23,167,356,2.008,4,30.302736204353934,-97.65684693710674,30.299749,30.31077100000001,-97.662338,-97.647327
24,131,353,2.023,4,30.215609484131505,-97.73843341153434,30.213142,30.21851400000001,-97.746076,-97.730705
25,37,352,2.023,4,30.41544984943182,-97.74684564772728,30.406849,30.423521,-97.753059,-97.743755
26,39,348,1.994,3,30.442777818289592,-97.74162834737429,30.43605,30.446752000000004,-97.745295,-97.735283
27,15,347,1.977,2,30.40062720991494,-97.64177035590973,30.394465000000004,30.406548,-97.644852,-97.638393
28,228,330,2.494,4,30.11474366330789,-97.80606710430553,30.106436,30.130090999999997,-97.809868,-97.800063
29,237,327,2.003,4,30.226025337389807,-97.70401880595917,30.221927,30.230434,-97.709038,-97.700996
30,46,326,2.003,3,30.331828487330032,-97.73915200710341,30.321161,30.336397,-97.745956,-97.733978
31,152,281,2.025,4,30.25688634237257,-97.61176287383049,30.254946,30.259247,-97.613197,-97.608936
32,91,267,1.985,2,30.201919541722848,-97.807125009588,30.194201,30.206949,-97.813736,-97.802635
33,97,257,1.996,2,30.1966153307393,-97.7877393229572,30.19203,30.19858,-97.791771,-97.782936
34,88,248,2.0,3,30.477580674861567,-97.7656193911944,30.474240999999996,30.483027000000003,-97.770401,-97.762695
35,76,242,2.033,4,30.253353325691997,-97.6046917522817,30.248787,30.2582,-97.607437,-97.601082
36,42,235,2.013,3,30.1808401178031,-97.68784674551728,30.172964,30.183542,-97.690544,-97.682426
37,200,207,2.0,3,30.208719391304346,-97.78165423188406,30.202419,30.216492,-97.787361,-97.775757
38,170,198,2.02,4,30.35446521979798,-97.79390938020202,30.342463,30.36125,-97.801512,-97.787773
39,51,195,2.0,4,30.328630235897435,-97.65952352820513,30.327257,30.331194,-97.66732,-97.652748
40,102,190,1.995,2,30.19517370522464,-97.74143524259418,30.190531,30.199247,-97.750542,-97.736412
41,104,187,2.0,3,30.429897784432864,-97.70086939771342,30.424406,30.43305,-97.702812,-97.698414
